step,time,k_before,k_after
422,4.22,25385,25385
423,4.23,24859.1,24859.1
424,4.24,24331.4,24331.4
425,4.25,23803.1,23803.1
426,4.26,23275.3,23275.3
427,4.27,22749.2,22749.2
428,4.28,22225.8,22225.8
429,4.29,21706.1,21706.2
430,4.3,21191.4,21191.4
431,4.31,20682.6,20682.6
432,4.32,20180.7,20180.7
433,4.33,19686.7,19686.7
434,4.34,19201.5,19201.5
435,4.35,18726.2,18726.2
436,4.36,18261.5,18261.5
437,4.37,17808.3,17808.3
438,4.38,17367.5,17367.5
439,4.39,16939.8,16939.8
440,4.4,16526,16526
441,4.41,16126.7,16126.7
442,4.42,15742.5,15742.5
443,4.43,15374.1,15374.2
444,4.44,15022.1,15022.1
445,4.45,14686.9,14686.9
446,4.46,14368.9,14368.9
447,4.47,14068.6,14068.6
448,4.48,13786.3,13786.3
449,4.49,13522.3,13522.3
450,4.5,13276.9,13276.9
451,4.51,13050.2,13050.2
452,4.52,12842.3,12842.3
453,4.53,12653.3,12653.3
454,4.54,12483.3,12483.3
455,4.55,12332.3,12332.3
456,4.56,12200.1,12200.1
457,4.57,12086.6,12086.6
458,4.58,11991.6,11991.6
459,4.59,11914.9,11914.9
460,4.6,11856.2,11856.2
461,4.61,11815.2,11815.2
462,4.62,11791.4,11791.5
463,4.63,11784.6,11784.6
464,4.64,11794.1,11794.1
465,4.65,11819.4,11819.4
466,4.66,11860.1,11860.1
467,4.67,11915.4,11915.4
468,4.68,11984.8,11984.8
469,4.69,12067.6,12067.6
470,4.7,12163.1,12163.1
471,4.71,12270.5,12270.5
472,4.72,12389.1,12389.1
473,4.73,12518,12518
474,4.74,12656.5,12656.5
475,4.75,12803.7,12803.7
476,4.76,12958.8,12958.8
477,4.77,13120.7,13120.7
478,4.78,13288.8,13288.8
479,4.79,13461.9,13461.9
480,4.8,13639.3,13639.3
481,4.81,13819.9,13819.9
482,4.82,14002.9,14002.9
483,4.83,14187.3,14187.3
484,4.84,14372.1,14372.1
485,4.85,14556.5,14556.5
486,4.86,14739.5,14739.5
487,4.87,14920.1,14920.1
488,4.88,15097.5,15097.5
489,4.89,15270.8,15270.8
490,4.9,15439,15439
491,4.91,15601.4,15601.4
492,4.92,15757,15757
493,4.93,15905,15905
494,4.94,16044.6,16044.6
495,4.95,16175.2,16175.2
496,4.96,16295.8,16295.8
497,4.97,16405.8,16405.8
498,4.98,16504.5,16504.5
499,4.99,16591.3,16591.3
500,5,16665.5,16665.5
501,5.01,16726.6,16726.6
502,5.02,16774,16774
503,5.03,16807.2,16807.2
504,5.04,16825.8,16825.8
505,5.05,16829.3,16829.3
506,5.06,16817.4,16817.4
507,5.07,16789.8,16789.8
508,5.08,16746.1,16746.1
509,5.09,16686.2,16686.2
510,5.1,16609.8,16609.8
511,5.11,16516.8,16516.8
512,5.12,16407,16407
513,5.13,16280.6,16280.6
514,5.14,16137.3,16137.3
515,5.15,15977.4,15977.4
516,5.16,15800.8,15800.8
517,5.17,15607.7,15607.7
518,5.18,15398.3,15398.3
519,5.19,15172.8,15172.8
520,5.2,14931.4,14931.4
521,5.21,14674.6,14674.6
522,5.22,14402.6,14402.6
523,5.23,14115.8,14115.8
524,5.24,13814.7,13814.7
525,5.25,13499.7,13499.7
526,5.26,13171.4,13171.4
527,5.27,12830.3,12830.3
528,5.28,12477,12477
529,5.29,12112.1,12112.1
530,5.3,11736.2,11736.2
531,5.31,11350,11350
532,5.32,10954.3,10954.3
533,5.33,10549.7,10549.7
534,5.34,10137,10137
535,5.35,9716.98,9716.98
536,5.36,9290.41,9290.41
537,5.37,8858.1,8858.1
538,5.38,8420.87,8420.87
539,5.39,7979.56,7979.56
540,5.4,7535.01,7535.01
541,5.41,7088.07,7088.07
542,5.42,6639.59,6639.59
543,5.43,6190.44,6190.44
544,5.44,5741.48,5741.48
545,5.45,5293.56,5293.56
546,5.46,4847.55,4847.55
547,5.47,4404.28,4404.28
548,5.48,3964.6,3964.61
549,5.49,3529.35,3529.35
550,5.5,3099.33,3099.33
551,5.51,2675.35,2675.35
552,5.52,2258.2,2258.2
553,5.53,1848.64,1848.65
554,5.54,1447.42,1447.43
555,5.55,1055.27,1055.27
556,5.56,672.873,672.875
557,5.57,300.91,300.912
558,5.58,-59.9772,-59.9746
559,5.59,-409.174,-409.172
560,5.6,-746.099,-746.096
561,5.61,-1070.2,-1070.2
562,5.62,-1380.97,-1380.96
563,5.63,-1677.91,-1677.91
564,5.64,-1960.6,-1960.6
565,5.65,-2228.62,-2228.62
566,5.66,-2481.61,-2481.6
567,5.67,-2719.23,-2719.22
568,5.68,-2941.2,-2941.2
569,5.69,-3147.28,-3147.27
570,5.7,-3337.25,-3337.25
571,5.71,-3510.96,-3510.95
572,5.72,-3668.28,-3668.27
573,5.73,-3809.13,-3809.12
574,5.74,-3933.47,-3933.47
575,5.75,-4041.32,-4041.31
576,5.76,-4132.71,-4132.71
577,5.77,-4207.73,-4207.73
578,5.78,-4266.52,-4266.52
579,5.79,-4309.25,-4309.24
580,5.8,-4336.12,-4336.11
581,5.81,-4347.38,-4347.38
582,5.82,-4343.33,-4343.33
583,5.83,-4324.3,-4324.29
584,5.84,-4290.64,-4290.63
585,5.85,-4242.75,-4242.75
586,5.86,-4181.08,-4181.07
587,5.87,-4106.08,-4106.08
588,5.88,-4018.26,-4018.26
589,5.89,-3918.15,-3918.14
590,5.9,-3806.29,-3806.29
591,5.91,-3683.29,-3683.29
592,5.92,-3549.75,-3549.75
593,5.93,-3406.31,-3406.31
594,5.94,-3253.62,-3253.62
595,5.95,-3092.36,-3092.36
596,5.96,-2923.23,-2923.23
597,5.97,-2746.94,-2746.93
598,5.98,-2564.21,-2564.2
599,5.99,-2375.78,-2375.78
600,6,-2182.41,-2182.41
601,6.01,-1984.85,-1984.85
602,6.02,-1783.86,-1783.86
603,6.03,-1580.22,-1580.22
604,6.04,-1374.69,-1374.69
605,6.05,-1168.04,-1168.04
606,6.06,-961.049,-961.05
607,6.07,-754.472,-754.472
608,6.08,-549.068,-549.069
609,6.09,-345.589,-345.59
610,6.1,-144.774,-144.775
611,6.11,52.6497,52.6484
