Time (s)  Flap Rotation y (radians)Flap Rotation y (degrees)
4.605             0.003829        0.219402
4.620             0.003748        0.214758
4.635             0.003664        0.209921
4.650             0.003576        0.204891
4.665             0.003485        0.199666
4.680             0.003390        0.194246
4.695             0.003292        0.188631
4.710             0.003191        0.182820
4.725             0.003086        0.176815
4.740             0.002978        0.170615
4.755             0.002866        0.164222
4.770             0.002751        0.157635
4.785             0.002633        0.150857
4.800             0.002511        0.143888
4.815             0.002386        0.136730
4.830             0.002258        0.129384
4.845             0.002127        0.121853
4.860             0.001992        0.114138
4.875             0.001854        0.106242
4.890             0.001713        0.098167
4.905             0.001569        0.089915
4.920             0.001422        0.081490
4.935             0.001272        0.072894
4.950             0.001119        0.064130
4.965             0.000963        0.055201
4.980             0.000805        0.046111
4.995             0.000643        0.036863
5.010             0.000479        0.027460
5.025             0.000313        0.017907
5.040             0.000143        0.008206
5.055            -0.000029       -0.001639
5.070            -0.000203       -0.011622
5.085            -0.000379       -0.021741
5.100            -0.000558       -0.031992
5.115            -0.000739       -0.042370
5.130            -0.000923       -0.052870
5.145            -0.001108       -0.063490
5.160            -0.001295       -0.074224
5.175            -0.001485       -0.085067
5.190            -0.001676       -0.096017
5.205            -0.001869       -0.107067
5.220            -0.002063       -0.118215
5.235            -0.002259       -0.129454
5.250            -0.002457       -0.140781
5.265            -0.002656       -0.152192
5.280            -0.002857       -0.163681
5.295            -0.003059       -0.175244
5.310            -0.003262       -0.186877
5.325            -0.003466       -0.198575
5.340            -0.003671       -0.210334
5.355            -0.003877       -0.222149
5.370            -0.004084       -0.234016
5.385            -0.004292       -0.245931
5.400            -0.004501       -0.257889
5.415            -0.004710       -0.269887
5.430            -0.004920       -0.281919
5.445            -0.005131       -0.293981
5.460            -0.005342       -0.306071
5.475            -0.005553       -0.318183
5.490            -0.005765       -0.330314
5.505            -0.005977       -0.342460
5.520            -0.006189       -0.354617
5.535            -0.006402       -0.366781
5.550            -0.006614       -0.378950
5.565            -0.006826       -0.391119
5.580            -0.007039       -0.403285
5.595            -0.007251       -0.415445
5.610            -0.007463       -0.427595
5.625            -0.007675       -0.439734
5.640            -0.007886       -0.451857
5.655            -0.008098       -0.463962
5.670            -0.008309       -0.476047
5.685            -0.008519       -0.488109
5.700            -0.008729       -0.500145
5.715            -0.008939       -0.512153
5.730            -0.009148       -0.524132
5.745            -0.009356       -0.536080
5.760            -0.009564       -0.547994
5.775            -0.009772       -0.559873
5.790            -0.009978       -0.571716
5.805            -0.010184       -0.583520
5.820            -0.010390       -0.595286
5.835            -0.010594       -0.607012
5.850            -0.010798       -0.618698
5.865            -0.011002       -0.630342
5.880            -0.011204       -0.641944
5.895            -0.011406       -0.653504
5.910            -0.011607       -0.665022
5.925            -0.011807       -0.676498
5.940            -0.012007       -0.687931
5.955            -0.012205       -0.699323
5.970            -0.012404       -0.710673
5.985            -0.012601       -0.721982
6.000            -0.012798       -0.733252
6.015            -0.012994       -0.744482
6.030            -0.013189       -0.755675
6.045            -0.013384       -0.766831
6.060            -0.013578       -0.777952
6.075            -0.013771       -0.789038
6.090            -0.013964       -0.800093
6.105            -0.014157       -0.811117
6.120            -0.014349       -0.822113
6.135            -0.014540       -0.833081
6.150            -0.014731       -0.844026
6.165            -0.014922       -0.854948
6.180            -0.015112       -0.865849
6.195            -0.015302       -0.876733
6.210            -0.015492       -0.887602
6.225            -0.015681       -0.898457
6.240            -0.015870       -0.909303
6.255            -0.016059       -0.920140
6.270            -0.016249       -0.930972
6.285            -0.016438       -0.941802
6.300            -0.016627       -0.952631
6.315            -0.016816       -0.963463
6.330            -0.017005       -0.974301
6.345            -0.017194       -0.985146
6.360            -0.017384       -0.996002
6.375            -0.017573       -1.006872
6.390            -0.017763       -1.017757
6.405            -0.017953       -1.028660
6.420            -0.018144       -1.039583
6.435            -0.018335       -1.050530
6.450            -0.018527       -1.061502
6.465            -0.018719       -1.072501
6.480            -0.018911       -1.083530
6.495            -0.019104       -1.094590
6.510            -0.019298       -1.105684
6.525            -0.019492       -1.116812
6.540            -0.019687       -1.127977
6.555            -0.019882       -1.139180
6.570            -0.020079       -1.150422
6.585            -0.020276       -1.161705
6.600            -0.020473       -1.173029
6.615            -0.020672       -1.184395
6.630            -0.020871       -1.195804
6.645            -0.021071       -1.207256
6.660            -0.021271       -1.218752
6.675            -0.021473       -1.230291
6.690            -0.021675       -1.241874
