Time (s)  Flap Rotation y (radians)Flap Rotation y (degrees)
11.55              -0.1178         -6.7471
11.58              -0.1168         -6.6914
11.61              -0.1158         -6.6350
11.64              -0.1148         -6.5780
11.67              -0.1138         -6.5203
11.70              -0.1128         -6.4621
11.73              -0.1118         -6.4033
11.76              -0.1107         -6.3438
11.79              -0.1097         -6.2838
11.82              -0.1086         -6.2231
11.85              -0.1075         -6.1619
11.88              -0.1065         -6.1001
11.91              -0.1054         -6.0378
11.94              -0.1043         -5.9749
11.97              -0.1032         -5.9114
12.00              -0.1021         -5.8474
12.03              -0.1009         -5.7828
12.06              -0.0998         -5.7177
12.09              -0.0986         -5.6521
12.12              -0.0975         -5.5860
12.15              -0.0963         -5.5194
12.18              -0.0952         -5.4522
12.21              -0.0940         -5.3846
12.24              -0.0928         -5.3165
12.27              -0.0916         -5.2479
12.30              -0.0904         -5.1788
12.33              -0.0892         -5.1093
12.36              -0.0880         -5.0393
12.39              -0.0867         -4.9689
12.42              -0.0855         -4.8980
12.45              -0.0842         -4.8267
12.48              -0.0830         -4.7550
12.51              -0.0817         -4.6828
12.54              -0.0805         -4.6103
12.57              -0.0792         -4.5373
12.60              -0.0779         -4.4639
12.63              -0.0766         -4.3902
12.66              -0.0753         -4.3161
12.69              -0.0740         -4.2416
12.72              -0.0727         -4.1667
12.75              -0.0714         -4.0915
12.78              -0.0701         -4.0159
12.81              -0.0688         -3.9400
12.84              -0.0674         -3.8638
12.87              -0.0661         -3.7872
12.90              -0.0648         -3.7103
12.93              -0.0634         -3.6331
12.96              -0.0621         -3.5556
12.99              -0.0607         -3.4778
13.02              -0.0593         -3.3997
13.05              -0.0580         -3.3213
13.08              -0.0566         -3.2427
13.11              -0.0552         -3.1638
13.14              -0.0538         -3.0846
13.17              -0.0524         -3.0052
13.20              -0.0511         -2.9255
13.23              -0.0497         -2.8456
13.26              -0.0483         -2.7654
13.29              -0.0469         -2.6850
13.32              -0.0455         -2.6044
13.35              -0.0440         -2.5236
13.38              -0.0426         -2.4426
13.41              -0.0412         -2.3615
13.44              -0.0398         -2.2801
13.47              -0.0384         -2.1985
13.50              -0.0369         -2.1168
13.53              -0.0355         -2.0349
13.56              -0.0341         -1.9528
13.59              -0.0326         -1.8706
13.62              -0.0312         -1.7883
13.65              -0.0298         -1.7058
13.68              -0.0283         -1.6231
13.71              -0.0269         -1.5404
13.74              -0.0254         -1.4575
13.77              -0.0240         -1.3746
13.80              -0.0225         -1.2915
13.83              -0.0211         -1.2084
13.86              -0.0196         -1.1251
13.89              -0.0182         -1.0418
13.92              -0.0167         -0.9584
13.95              -0.0153         -0.8750
13.98              -0.0138         -0.7915
14.01              -0.0124         -0.7079
14.04              -0.0109         -0.6244
14.07              -0.0094         -0.5407
14.10              -0.0080         -0.4571
14.13              -0.0065         -0.3734
14.16              -0.0051         -0.2898
14.19              -0.0036         -0.2061
14.22              -0.0021         -0.1225
14.25              -0.0007         -0.0388
14.28               0.0008          0.0448
14.31               0.0022          0.1284
14.34               0.0037          0.2119
14.37               0.0052          0.2954
14.40               0.0066          0.3789
14.43               0.0081          0.4622
14.46               0.0095          0.5456
