Time (s)  Flap Rotation y (radians)Flap Rotation y (degrees)
6.690            -0.021557       -1.235151
6.705            -0.021760       -1.246753
6.720            -0.021963       -1.258395
6.735            -0.022167       -1.270075
6.750            -0.022372       -1.281795
6.765            -0.022577       -1.293551
6.780            -0.022783       -1.305342
6.795            -0.022989       -1.317168
6.810            -0.023196       -1.329026
6.825            -0.023403       -1.340915
6.840            -0.023611       -1.352831
6.855            -0.023820       -1.364774
6.870            -0.024029       -1.376740
6.885            -0.024238       -1.388726
6.900            -0.024447       -1.400731
6.915            -0.024657       -1.412750
6.930            -0.024867       -1.424780
6.945            -0.025077       -1.436819
6.960            -0.025287       -1.448862
6.975            -0.025498       -1.460906
6.990            -0.025708       -1.472948
7.005            -0.025918       -1.484982
7.020            -0.026128       -1.497005
7.035            -0.026337       -1.509012
7.050            -0.026546       -1.521000
7.065            -0.026755       -1.532964
7.080            -0.026964       -1.544899
7.095            -0.027171       -1.556801
7.110            -0.027378       -1.568665
7.125            -0.027585       -1.580485
7.140            -0.027790       -1.592258
7.155            -0.027995       -1.603978
7.170            -0.028198       -1.615640
7.185            -0.028401       -1.627239
7.200            -0.028602       -1.638770
7.215            -0.028802       -1.650227
7.230            -0.029001       -1.661607
7.245            -0.029198       -1.672903
7.260            -0.029393       -1.684111
7.275            -0.029587       -1.695224
7.290            -0.029779       -1.706239
7.305            -0.029970       -1.717150
7.320            -0.030158       -1.727951
7.335            -0.030345       -1.738638
7.350            -0.030529       -1.749205
7.365            -0.030712       -1.759648
7.380            -0.030892       -1.769962
7.395            -0.031069       -1.780141
7.410            -0.031245       -1.790180
7.425            -0.031417       -1.800076
7.440            -0.031587       -1.809822
7.455            -0.031755       -1.819414
7.470            -0.031919       -1.828848
7.485            -0.032081       -1.838119
7.500            -0.032240       -1.847222
7.515            -0.032396       -1.856153
7.530            -0.032549       -1.864908
7.545            -0.032698       -1.873481
7.560            -0.032845       -1.881870
7.575            -0.032988       -1.890069
7.590            -0.033128       -1.898075
7.605            -0.033264       -1.905883
