Time (s)  Flap Rotation y (radians)Flap Rotation y (degrees)
27.12              -0.1299         -7.4411
27.15              -0.1307         -7.4876
27.18              -0.1315         -7.5335
27.21              -0.1323         -7.5786
27.24              -0.1330         -7.6230
27.27              -0.1338         -7.6667
27.30              -0.1346         -7.7096
27.33              -0.1353         -7.7518
27.36              -0.1360         -7.7933
27.39              -0.1367         -7.8340
27.42              -0.1374         -7.8740
27.45              -0.1381         -7.9132
27.48              -0.1388         -7.9517
27.51              -0.1394         -7.9894
27.54              -0.1401         -8.0263
27.57              -0.1407         -8.0625
27.60              -0.1413         -8.0979
27.63              -0.1419         -8.1326
27.66              -0.1425         -8.1664
27.69              -0.1431         -8.1995
27.72              -0.1437         -8.2318
27.75              -0.1442         -8.2633
27.78              -0.1448         -8.2940
27.81              -0.1453         -8.3239
27.84              -0.1458         -8.3531
