# SEA-Stack Verification Data
# format: timeseries
# source: inw
# model: f3of_decay_multicode
# quantity: dt1_heave
# units: s, m
# columns: Time(s) HEAVE(m)
4.630926e+01 -9.028421e+00
4.640928e+01 -9.028261e+00
4.650930e+01 -9.028078e+00
4.660932e+01 -9.027872e+00
4.670934e+01 -9.027644e+00
4.680936e+01 -9.027396e+00
4.690938e+01 -9.027129e+00
4.700940e+01 -9.026843e+00
4.710942e+01 -9.026541e+00
4.720944e+01 -9.026223e+00
4.730946e+01 -9.025892e+00
4.740948e+01 -9.025549e+00
4.750950e+01 -9.025195e+00
4.760952e+01 -9.024832e+00
4.770954e+01 -9.024463e+00
4.780956e+01 -9.024088e+00
4.790958e+01 -9.023709e+00
4.800960e+01 -9.023329e+00
4.810962e+01 -9.022950e+00
4.820964e+01 -9.022572e+00
4.830966e+01 -9.022199e+00
4.840968e+01 -9.021831e+00
4.850970e+01 -9.021471e+00
4.860972e+01 -9.021120e+00
4.870974e+01 -9.020780e+00
4.880976e+01 -9.020453e+00
4.890978e+01 -9.020141e+00
4.900980e+01 -9.019844e+00
4.910982e+01 -9.019564e+00
4.920984e+01 -9.019303e+00
4.930986e+01 -9.019062e+00
4.940988e+01 -9.018842e+00
4.950990e+01 -9.018644e+00
4.960992e+01 -9.018469e+00
4.970994e+01 -9.018317e+00
4.980996e+01 -9.018190e+00
4.990998e+01 -9.018088e+00
5.001000e+01 -9.018012e+00
5.011002e+01 -9.017961e+00
5.021004e+01 -9.017937e+00
5.031006e+01 -9.017939e+00
5.041008e+01 -9.017967e+00
5.051010e+01 -9.018021e+00
5.061012e+01 -9.018100e+00
5.071014e+01 -9.018205e+00
5.081016e+01 -9.018335e+00
5.091018e+01 -9.018488e+00
5.101020e+01 -9.018665e+00
5.111022e+01 -9.018864e+00
5.121024e+01 -9.019084e+00
5.131026e+01 -9.019324e+00
5.141028e+01 -9.019583e+00
5.151030e+01 -9.019859e+00
5.161032e+01 -9.020151e+00
5.171034e+01 -9.020458e+00
5.181036e+01 -9.020777e+00
5.191038e+01 -9.021108e+00
5.201040e+01 -9.021449e+00
5.211042e+01 -9.021798e+00
5.221044e+01 -9.022153e+00
5.231046e+01 -9.022512e+00
5.241048e+01 -9.022875e+00
5.251050e+01 -9.023238e+00
5.261052e+01 -9.023601e+00
5.271054e+01 -9.023962e+00
5.281056e+01 -9.024318e+00
5.291058e+01 -9.024669e+00
5.301060e+01 -9.025012e+00
5.311062e+01 -9.025346e+00
5.321064e+01 -9.025670e+00
5.331066e+01 -9.025981e+00
5.341068e+01 -9.026278e+00
5.351070e+01 -9.026561e+00
5.361072e+01 -9.026827e+00
5.371074e+01 -9.027075e+00
5.381076e+01 -9.027305e+00
5.391078e+01 -9.027514e+00
5.401080e+01 -9.027703e+00
5.411082e+01 -9.027870e+00
5.421084e+01 -9.028014e+00
5.431086e+01 -9.028135e+00
5.441088e+01 -9.028232e+00
5.451090e+01 -9.028305e+00
5.461092e+01 -9.028353e+00
5.471094e+01 -9.028376e+00
5.481096e+01 -9.028374e+00
5.491098e+01 -9.028348e+00
5.501100e+01 -9.028296e+00
5.511102e+01 -9.028219e+00
5.521104e+01 -9.028118e+00
5.531106e+01 -9.027993e+00
5.541108e+01 -9.027845e+00
5.551110e+01 -9.027674e+00
5.561112e+01 -9.027481e+00
5.571114e+01 -9.027266e+00
5.581116e+01 -9.027031e+00
5.591118e+01 -9.026777e+00
5.601120e+01 -9.026505e+00
5.611122e+01 -9.026215e+00
5.621124e+01 -9.025910e+00
5.631126e+01 -9.025591e+00
5.641128e+01 -9.025258e+00
5.651130e+01 -9.024914e+00
5.661132e+01 -9.024559e+00
5.671134e+01 -9.024197e+00
5.681136e+01 -9.023827e+00
5.691138e+01 -9.023452e+00
5.701140e+01 -9.023073e+00
5.711142e+01 -9.022693e+00
5.721144e+01 -9.022312e+00
5.731146e+01 -9.021933e+00
5.741148e+01 -9.021557e+00
5.751150e+01 -9.021186e+00
5.761152e+01 -9.020821e+00
5.771154e+01 -9.020465e+00
5.781156e+01 -9.020119e+00
5.791158e+01 -9.019784e+00
5.801160e+01 -9.019463e+00
5.811162e+01 -9.019156e+00
5.821164e+01 -9.018865e+00
5.831166e+01 -9.018592e+00
5.841168e+01 -9.018338e+00
5.851170e+01 -9.018104e+00
5.861172e+01 -9.017892e+00
5.871174e+01 -9.017703e+00
5.881176e+01 -9.017538e+00
5.891178e+01 -9.017397e+00
5.901180e+01 -9.017282e+00
5.911182e+01 -9.017194e+00
5.921184e+01 -9.017133e+00
5.931186e+01 -9.017100e+00
5.941188e+01 -9.017095e+00
5.951190e+01 -9.017118e+00
5.961192e+01 -9.017170e+00
5.971194e+01 -9.017251e+00
5.981196e+01 -9.017359e+00
5.991198e+01 -9.017496e+00
6.001200e+01 -9.017661e+00
6.011202e+01 -9.017852e+00
6.021204e+01 -9.018071e+00
6.031206e+01 -9.018314e+00
6.041208e+01 -9.018583e+00
6.051210e+01 -9.018875e+00
6.061212e+01 -9.019189e+00
6.071214e+01 -9.019525e+00
6.081216e+01 -9.019880e+00
6.091218e+01 -9.020253e+00
6.101220e+01 -9.020642e+00
6.111222e+01 -9.021046e+00
6.121224e+01 -9.021463e+00
6.131226e+01 -9.021891e+00
6.141228e+01 -9.022327e+00
6.151230e+01 -9.022770e+00
6.161232e+01 -9.023217e+00
6.171234e+01 -9.023667e+00
6.181236e+01 -9.024117e+00
6.191238e+01 -9.024564e+00
6.201240e+01 -9.025007e+00
6.211242e+01 -9.025444e+00
6.221244e+01 -9.025872e+00
6.231246e+01 -9.026288e+00
6.241248e+01 -9.026692e+00
6.251250e+01 -9.027080e+00
6.261252e+01 -9.027450e+00
6.271254e+01 -9.027801e+00
6.281256e+01 -9.028131e+00
6.291258e+01 -9.028438e+00
6.301260e+01 -9.028720e+00
6.311262e+01 -9.028976e+00
6.321264e+01 -9.029205e+00
6.331266e+01 -9.029404e+00
6.341268e+01 -9.029574e+00
6.351270e+01 -9.029712e+00
6.361272e+01 -9.029819e+00
6.371274e+01 -9.029894e+00
6.381276e+01 -9.029936e+00
6.391278e+01 -9.029944e+00
6.401280e+01 -9.029920e+00
6.411282e+01 -9.029863e+00
6.421284e+01 -9.029773e+00
6.431286e+01 -9.029651e+00
6.441288e+01 -9.029498e+00
6.451290e+01 -9.029314e+00
6.461292e+01 -9.029100e+00
6.471294e+01 -9.028859e+00
6.481296e+01 -9.028590e+00
6.491298e+01 -9.028296e+00
6.501300e+01 -9.027979e+00
6.511302e+01 -9.027640e+00
6.521304e+01 -9.027281e+00
6.531306e+01 -9.026904e+00
6.541308e+01 -9.026512e+00
6.551310e+01 -9.026107e+00
6.561312e+01 -9.025692e+00
6.571314e+01 -9.025268e+00
6.581316e+01 -9.024838e+00
6.591318e+01 -9.024405e+00
6.601320e+01 -9.023972e+00
6.611322e+01 -9.023540e+00
6.621324e+01 -9.023114e+00
6.631326e+01 -9.022694e+00
6.641328e+01 -9.022284e+00
6.651330e+01 -9.021885e+00
6.661332e+01 -9.021501e+00
6.671334e+01 -9.021134e+00
6.681336e+01 -9.020785e+00
6.691338e+01 -9.020457e+00
6.701340e+01 -9.020152e+00
6.711342e+01 -9.019871e+00
6.721344e+01 -9.019617e+00
6.731346e+01 -9.019390e+00
6.741348e+01 -9.019191e+00
6.751350e+01 -9.019023e+00
6.761352e+01 -9.018886e+00
6.771354e+01 -9.018780e+00
6.781356e+01 -9.018707e+00
6.791358e+01 -9.018666e+00
6.801360e+01 -9.018658e+00
6.811362e+01 -9.018683e+00
6.821364e+01 -9.018741e+00
6.831366e+01 -9.018830e+00
6.841368e+01 -9.018951e+00
6.851370e+01 -9.019102e+00
6.861372e+01 -9.019284e+00
6.871374e+01 -9.019494e+00
6.881376e+01 -9.019731e+00
6.891378e+01 -9.019993e+00
6.901380e+01 -9.020280e+00
6.911382e+01 -9.020590e+00
6.921384e+01 -9.020920e+00
6.931386e+01 -9.021269e+00
6.941388e+01 -9.021634e+00
6.951390e+01 -9.022015e+00
6.961392e+01 -9.022407e+00
6.971394e+01 -9.022810e+00
6.981396e+01 -9.023221e+00
6.991398e+01 -9.023637e+00
7.001400e+01 -9.024057e+00
7.011402e+01 -9.024478e+00
7.021404e+01 -9.024897e+00
7.031406e+01 -9.025314e+00
7.041408e+01 -9.025724e+00
7.051410e+01 -9.026127e+00
7.061412e+01 -9.026521e+00
7.071414e+01 -9.026902e+00
7.081416e+01 -9.027270e+00
7.091418e+01 -9.027622e+00
7.101420e+01 -9.027957e+00
7.111422e+01 -9.028273e+00
7.121424e+01 -9.028570e+00
7.131426e+01 -9.028844e+00
7.141428e+01 -9.029096e+00
7.151430e+01 -9.029325e+00
7.161432e+01 -9.029528e+00
7.171434e+01 -9.029707e+00
7.181436e+01 -9.029860e+00
7.191438e+01 -9.029987e+00
7.201440e+01 -9.030087e+00
7.211442e+01 -9.030160e+00
7.221444e+01 -9.030207e+00
7.231446e+01 -9.030228e+00
7.241448e+01 -9.030222e+00
7.251450e+01 -9.030191e+00
7.261452e+01 -9.030136e+00
7.271454e+01 -9.030055e+00
7.281456e+01 -9.029952e+00
7.291458e+01 -9.029825e+00
7.301460e+01 -9.029677e+00
7.311462e+01 -9.029509e+00
7.321464e+01 -9.029322e+00
7.331466e+01 -9.029116e+00
7.341468e+01 -9.028894e+00
7.351470e+01 -9.028656e+00
7.361472e+01 -9.028404e+00
7.371474e+01 -9.028140e+00
7.381476e+01 -9.027865e+00
7.391478e+01 -9.027579e+00
7.401480e+01 -9.027286e+00
7.411482e+01 -9.026985e+00
7.421484e+01 -9.026679e+00
7.431486e+01 -9.026370e+00
7.441488e+01 -9.026057e+00
7.451490e+01 -9.025743e+00
7.461492e+01 -9.025429e+00
7.471494e+01 -9.025117e+00
7.481496e+01 -9.024807e+00
7.491498e+01 -9.024501e+00
7.501500e+01 -9.024200e+00
7.511502e+01 -9.023905e+00
7.521504e+01 -9.023618e+00
7.531506e+01 -9.023338e+00
7.541508e+01 -9.023068e+00
7.551510e+01 -9.022807e+00
7.561512e+01 -9.022557e+00
7.571514e+01 -9.022319e+00
7.581516e+01 -9.022093e+00
7.591518e+01 -9.021880e+00
7.601520e+01 -9.021680e+00
7.611522e+01 -9.021494e+00
7.621524e+01 -9.021322e+00
7.631526e+01 -9.021165e+00
7.641528e+01 -9.021023e+00
7.651530e+01 -9.020896e+00
7.661532e+01 -9.020784e+00
7.671534e+01 -9.020688e+00
7.681536e+01 -9.020607e+00
7.691538e+01 -9.020542e+00
7.701540e+01 -9.020492e+00
7.711542e+01 -9.020458e+00
7.721544e+01 -9.020439e+00
7.731546e+01 -9.020435e+00
7.741548e+01 -9.020446e+00
7.751550e+01 -9.020471e+00
7.761552e+01 -9.020511e+00
7.771554e+01 -9.020565e+00
7.781556e+01 -9.020632e+00
7.791558e+01 -9.020713e+00
7.801560e+01 -9.020806e+00
7.811562e+01 -9.020912e+00
7.821564e+01 -9.021029e+00
7.831566e+01 -9.021158e+00
7.841568e+01 -9.021298e+00
7.851570e+01 -9.021448e+00
7.861572e+01 -9.021608e+00
7.871574e+01 -9.021776e+00
7.881576e+01 -9.021953e+00
7.891578e+01 -9.022138e+00
7.901580e+01 -9.022329e+00
7.911582e+01 -9.022527e+00
7.921584e+01 -9.022731e+00
7.931586e+01 -9.022939e+00
7.941588e+01 -9.023152e+00
7.951590e+01 -9.023367e+00
7.961592e+01 -9.023585e+00
7.971594e+01 -9.023804e+00
7.981596e+01 -9.024024e+00
7.991598e+01 -9.024243e+00
8.001600e+01 -9.024462e+00
8.011602e+01 -9.024678e+00
8.021604e+01 -9.024891e+00
8.031606e+01 -9.025100e+00
8.041608e+01 -9.025304e+00
8.051610e+01 -9.025502e+00
8.061612e+01 -9.025693e+00
8.071614e+01 -9.025877e+00
8.081616e+01 -9.026051e+00
